dataset,split,model,configuration,seed,test_auroc,test_auprc,test_f1,test_sensitivity,test_specificity,test_accuracy,best_epoch,validation_threshold,config,pred_file,true_file,n_samples,sample_id_range
biosnap,random,SGBANDTI,full,42,0.9061797029847458,0.9170705353602651,0.8330893118594437,0.8321755027422304,0.8356313497822931,0.8339100346020761,137,0.758940577507019,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",..\results\per_seed\biosnap_random_hop2\seed_42\test_y_pred.npy,..\results\per_seed\biosnap_random_hop2\seed_42\test_y_true.npy,5491,"[0,5490]"
biosnap,random,SGBANDTI,full,52,0.9090302560741662,0.9179913117484357,0.84141300263059,0.8186471663619744,0.8737300435413643,0.8462939355308687,146,0.7996950745582581,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",..\results\per_seed\biosnap_random_hop2\seed_52\test_y_pred.npy,..\results\per_seed\biosnap_random_hop2\seed_52\test_y_true.npy,5491,"[0,5490]"
biosnap,random,SGBANDTI,full,62,0.9039753053334854,0.9092623529588801,0.8292595255212077,0.843510054844607,0.8105950653120464,0.8269896193771626,125,0.4638408422470093,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",..\results\per_seed\biosnap_random_hop2\seed_62\test_y_pred.npy,..\results\per_seed\biosnap_random_hop2\seed_62\test_y_true.npy,5491,"[0,5490]"
biosnap,random,SGBANDTI,full,72,0.906461819715933,0.9086070361961628,0.834367362286144,0.8113345521023766,0.8675616835994194,0.8395556364960846,149,0.8312324285507202,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",..\results\per_seed\biosnap_random_hop2\seed_72\test_y_pred.npy,..\results\per_seed\biosnap_random_hop2\seed_72\test_y_true.npy,5491,"[0,5490]"
biosnap,random,SGBANDTI,full,82,0.9052408837756014,0.9130039765717775,0.8337037037037037,0.823034734917733,0.8497822931785196,0.8364596612638864,146,0.5311273336410522,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",..\results\per_seed\biosnap_random_hop2\seed_82\test_y_pred.npy,..\results\per_seed\biosnap_random_hop2\seed_82\test_y_true.npy,5491,"[0,5490]"
biosnap,random,SGBANDTI,no_both,42,0.8581049025824989,0.849244405711021,0.7909508419799286,0.850091407678245,0.7028301886792453,0.7761792023310873,101,0.06527217477560043,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_both,52,0.8627809558934736,0.8553332467821877,0.7937235543018336,0.823034734917733,0.7510885341074021,0.7869240575487161,108,0.29025915265083313,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_both,62,0.8603463807070099,0.8590510318272935,0.7881307881307882,0.7623400365630713,0.829100145137881,0.7958477508650519,148,0.8268424272537231,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_both,72,0.8619367947081721,0.8570043047945728,0.7932098765432098,0.8457038391224863,0.7155297532656023,0.7803678747040612,97,0.06937302649021149,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_both,82,0.8558694608140989,0.8548931586195028,0.7872260015117158,0.7616087751371116,0.8280116110304789,0.7949371699144054,149,0.7883860468864441,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_subgraph,42,0.8740118949382168,0.8793950634691499,0.8018535681186284,0.7908592321755027,0.81966618287373,0.8053177927517756,149,0.6403852701187134,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_subgraph,52,0.8754076198714191,0.8756062170920564,0.8067978533094812,0.8244972577696527,0.7822931785195936,0.8033145146603533,142,0.4237678050994873,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_subgraph,62,0.8751539602476099,0.8737846975228983,0.8081312410841655,0.8285191956124315,0.7797532656023222,0.8040429794208706,133,0.3596132695674896,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_subgraph,72,0.8760824977512915,0.8808516650334162,0.8045812455261274,0.8219378427787934,0.780478955007257,0.8011291203788017,116,0.4007965624332428,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
biosnap,random,SGBANDTI,no_subgraph,82,0.8777500577102177,0.8815016388985538,0.8103001111522786,0.7996343692870201,0.8272859216255443,0.8135130213075943,140,0.5272014737129211,"{'DRUG': {'NODE_IN_FEATS': 75, 'PADDING': True, 'HIDDEN_LAYERS': 128, 'NODE_IN_EMBEDDING': 128, 'MAX_NODES': 290, 'NUM_LAYERS': 3}, 'PROTEIN': {'NUM_FILTERS': [128, 128, 128], 'KERNEL_SIZE': [3, 6, 9]",,,,
